name,image,ig_followers
daniellemarcan,images/daniellemarcan.jpg,42
samchapman,images/samchapman.jpg,0
rosegallagher,images/rosegallagher.jpg,79026
adeolagboyega,images/adeolagboyega.jpg,32805
dendoll,images/dendoll.jpg,126396
beasweetbeauty,images/beasweetbeauty.jpg,68848
allanface,images/allanface.jpg,388041
nikki_makeup,images/nikki_makeup.jpg,0
meron_aboya,images/meron_aboya.jpg,81365
hannahbaxward,images/hannahbaxward.jpg,48471
priscillaono,images/priscillaono.jpg,0
katiejanehughes,images/katiejanehughes.jpg,885638
jamiepaigebeauty,images/jamiepaigebeauty.jpg,0
hungvanngo,images/hungvanngo.jpg,4210982
ninaubhi,images/ninaubhi.jpg,0
makeupbymario,images/makeupbymario.jpg,0
marioncameleon,images/marioncameleon.jpg,726421
coolgirlswearmugler,images/coolgirlswearmugler.jpg,104066
natashadenona,images/natashadenona.jpg,0
sabletoothtigre,images/sabletoothtigre.jpg,21690
sokoglam,images/sokoglam.jpg,380810
miramakeup,images/miramakeup.jpg,23677
ritualofme,images/ritualofme.jpg,17643
lisaeldridgemakeup,images/lisaeldridgemakeup.jpg,0
gelcream,images/gelcream.jpg,93025
ling.kt,images/ling.kt.jpg,0
jadeywadey180,images/jadeywadey180.jpg,0
sortofobsessed,images/sortofobsessed.jpg,44870
aliandreeamakeup,images/aliandreeamakeup.jpg,0
charlottetilbury,images/charlottetilbury.jpg,0
patrickta,images/patrickta.jpg,0
violette_fr,images/violette_fr.jpg,540161
maryphillips,images/maryphillips.jpg,2305962
riovn,images/riovn.jpg,48051
patmcgrathreal,images/patmcgrathreal.jpg,5665012
donni.davy,images/donni.davy.jpg,500110
samvissermakeup,images/samvissermakeup.jpg,356722
namvo,images/namvo.jpg,0
